NIVEL 1;NIVEL 2;PETROBRAS
CIENCIAS EXATAS E DA TERRA;;1
CIENCIAS EXATAS E DA TERRA;MATEMATICA;1
CIENCIAS EXATAS E DA TERRA;PROBABILIDADE E ESTATISTICA;1
CIENCIAS EXATAS E DA TERRA;CIENCIA DA COMPUTACAO;1
CIENCIAS EXATAS E DA TERRA;ASTRONOMIA;0
CIENCIAS EXATAS E DA TERRA;FISICA;1
CIENCIAS EXATAS E DA TERRA;QUIMICA;1
CIENCIAS EXATAS E DA TERRA;GEOCIENCIAS;1
CIENCIAS EXATAS E DA TERRA;OCEANOGRAFIA;1
CIENCIAS BIOLOGICAS;;1
CIENCIAS BIOLOGICAS;BIOLOGIA GERAL;1
CIENCIAS BIOLOGICAS;GENETICA;1
CIENCIAS BIOLOGICAS;BOTANICA;1
CIENCIAS BIOLOGICAS;ZOOLOGIA;1
CIENCIAS BIOLOGICAS;ECOLOGIA;1
CIENCIAS BIOLOGICAS;MORFOLOGIA;1
CIENCIAS BIOLOGICAS;FISIOLOGIA;1
CIENCIAS BIOLOGICAS;BIOQUIMICA;1
CIENCIAS BIOLOGICAS;BIOFISICA;1
CIENCIAS BIOLOGICAS;FARMACOLOGIA;0
CIENCIAS BIOLOGICAS;IMUNOLOGIA;0
CIENCIAS BIOLOGICAS;MICROBIOLOGIA;1
CIENCIAS BIOLOGICAS;PARASITOLOGIA;0
ENGENHARIAS;;1
ENGENHARIAS;ENGENHARIA CIVIL;1
ENGENHARIAS;ENGENHARIA DE MINAS;1
ENGENHARIAS;ENGENHARIA DE MATERIAIS E METALURGICA;1
ENGENHARIAS;ENGENHARIA ELETRICA;1
ENGENHARIAS;ENGENHARIA MECANICA;1
ENGENHARIAS;ENGENHARIA QUIMICA;1
ENGENHARIAS;ENGENHARIA SANITARIA;1
ENGENHARIAS;ENGENHARIA DE PRODUCAO;1
ENGENHARIAS;ENGENHARIA NUCLEAR;1
ENGENHARIAS;ENGENHARIA DE TRANSPORTES;1
ENGENHARIAS;ENGENHARIA NAVAL E OCEANICA;1
ENGENHARIAS;ENGENHARIA AEROESPACIAL;1
ENGENHARIAS;ENGENHARIA BIOMEDICA;1
CIENCIAS DA SAUDE;;0
CIENCIAS DA SAUDE;MEDICINA;0
CIENCIAS DA SAUDE;ODONTOLOGIA;0
CIENCIAS DA SAUDE;FARMACIA;0
CIENCIAS DA SAUDE;ENFERMAGEM;0
CIENCIAS DA SAUDE;NUTRICAO;0
CIENCIAS DA SAUDE;SAUDE COLETIVA;0
CIENCIAS DA SAUDE;FONOAUDIOLOGIA;0
CIENCIAS DA SAUDE;FISIOTERAPIA E TERAPIA OCUPACIONAL;0
CIENCIAS DA SAUDE;EDUCACAO FISICA;0
CIENCIAS AGRARIAS;;1
CIENCIAS AGRARIAS;AGRONOMIA;1
CIENCIAS AGRARIAS;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL;1
CIENCIAS AGRARIAS;ENGENHARIA AGRICOLA;1
CIENCIAS AGRARIAS;ZOOTECNIA;0
CIENCIAS AGRARIAS;MEDICINA VETERINARIA;0
CIENCIAS AGRARIAS;RECURSOS PESQUEIROS E ENGENHARIA DE PESCA;0
CIENCIAS AGRARIAS;CIENCIA E TECNOLOGIA DE ALIMENTOS;0
CIENCIAS SOCIAIS APLICADAS;;1
CIENCIAS SOCIAIS APLICADAS;DIREITO;1
CIENCIAS SOCIAIS APLICADAS;ADMINISTRACAO;1
CIENCIAS SOCIAIS APLICADAS;ECONOMIA;1
CIENCIAS SOCIAIS APLICADAS;ARQUITETURA E URBANISMO;0
CIENCIAS SOCIAIS APLICADAS;PLANEJAMENTO URBANO E REGIONAL;0
CIENCIAS SOCIAIS APLICADAS;DEMOGRAFIA;0
CIENCIAS SOCIAIS APLICADAS;CIENCIA DA INFORMACAO;1
CIENCIAS SOCIAIS APLICADAS;MUSEOLOGIA;0
CIENCIAS SOCIAIS APLICADAS;COMUNICACAO;1
CIENCIAS SOCIAIS APLICADAS;SERVICO SOCIAL;1
CIENCIAS SOCIAIS APLICADAS;ECONOMIA DOMESTICA;0
CIENCIAS SOCIAIS APLICADAS;DESENHO INDUSTRIAL;1
CIENCIAS SOCIAIS APLICADAS;TURISMO;0
CIENCIAS HUMANAS;;0
CIENCIAS HUMANAS;FILOSOFIA;0
CIENCIAS HUMANAS;SOCIOLOGIA;0
CIENCIAS HUMANAS;ANTROPOLOGIA;0
CIENCIAS HUMANAS;ARQUEOLOGIA;0
CIENCIAS HUMANAS;HISTORIA;0
CIENCIAS HUMANAS;GEOGRAFIA;0
CIENCIAS HUMANAS;PSICOLOGIA;0
CIENCIAS HUMANAS;EDUCACAO;0
CIENCIAS HUMANAS;CIENCIA POLITICA;0
CIENCIAS HUMANAS;TEOLOGIA;0
LINGUISTICA, LETRAS E ARTES;;0
LINGUISTICA, LETRAS E ARTES;LINGUISTICA;0
LINGUISTICA, LETRAS E ARTES;LETRAS;0
LINGUISTICA, LETRAS E ARTES;ARTES;0
